Date,Number of fatal crashes,Number Fatalities,DateID
1990-08-14,3,3,Date1990082
1990-08-15,5,8,Date1990083
1990-08-16,4,4,Date1990084
1990-08-17,2,2,Date1990085
1990-08-17,2,2,Date1990085
1990-08-18,13,16,Date1990086
1990-08-19,6,6,Date1990087
1990-08-20,5,5,Date1990081
1990-08-20,5,5,Date1990081
1990-08-21,3,3,Date1990082
1990-08-22,6,8,Date1990083
1990-08-23,8,9,Date1990084
1990-08-24,3,3,Date1990085
1990-08-24,3,3,Date1990085
1990-08-25,11,16,Date1990086
1990-08-26,5,5,Date1990087
1990-08-27,3,4,Date1990081
1990-08-27,3,4,Date1990081
1990-08-28,3,3,Date1990082
1990-08-29,5,8,Date1990083
1990-08-30,4,4,Date1990084
1990-08-31,11,11,Date1990085
1990-08-31,11,11,Date1990085
1990-09-01,6,6,Date1990096
1990-09-02,6,9,Date1990097
1990-09-03,3,3,Date1990091
1990-09-03,3,3,Date1990091
1990-09-04,5,5,Date1990092
1990-09-05,7,8,Date1990093
1990-09-06,4,4,Date1990094
1990-09-07,3,3,Date1990095
1990-09-07,3,3,Date1990095
1990-09-08,10,11,Date1990096
1990-09-09,5,10,Date1990097
1990-09-10,3,4,Date1990091
1990-09-10,3,4,Date1990091
1990-09-11,10,10,Date1990092
1990-09-12,1,1,Date1990093
1990-09-13,7,9,Date1990094
1990-09-14,7,8,Date1990095
1990-09-14,7,8,Date1990095
1990-09-15,11,11,Date1990096
1990-09-16,5,6,Date1990097
1990-09-17,7,8,Date1990091
1990-09-17,7,8,Date1990091
1990-09-18,3,3,Date1990092
1990-09-19,9,9,Date1990093
1990-09-20,9,12,Date1990094
